,0,1,2,3
443,445,H. Souttar | 24 | CB,-,
444,446,J. Lewis | 24 | FB,-,
445,447,N. Pépé | 27 | FW,-,
446,448,N. Phillips | 25 | CB,-,
447,449,B. Godfrey | 24 | FB,-,
448,450,C. Ronan | 24 | WAM,-,
449,451,M. Niakhaté | 26 | CB,-,
450,452,J. Tanganga | 23 | CB,-,
451,453,E. Ampadu | 22 | CB,-,
452,454,M. Cash | 25 | FB,-,
453,455,E. Konsa | 25 | CB,-,
454,456,N. Semedo | 29 | FB,-,
455,457,D. James | 25 | WAM,-,
456,458,C. Kelleher | 24 | GK,-,
457,459,T. Adams | 23 | CM,-,
458,460,T. Kehrer | 26 | CB,-,
459,461,W. Ndidi | 26 | CM,-,
460,462,Arthur | 26 | CM,-,
461,463,I. Konaté | 23 | CB,-,
462,464,R. Yates | 25 | CM,-,
463,465,S. Ghoddos | 29 | FB,-,
464,466,D. Iversen | 25 | GK,-,
465,467,C. Hudson-Odoi | 22 | FW,-,
466,468,T. McGill | 22 | GK,-,
467,469,E. Smith Rowe | 22 | WAM,-,
468,470,M. Akanji | 27 | CB,-,
469,471,S. Lukic | 26 | CM,-,
470,472,D. Zakaria | 26 | CM,-,
471,473,Y. Valery | 23 | CB,-,
472,474,C. Goode | 27 | CB,-,
473,475,M. Kilman | 25 | CB,-,
474,476,K. Tsimikas | 26 | FB,-,
475,477,B. Austin | 23 | GK,-,
476,478,A. Wan-Bissaka | 25 | FB,-,
477,479,R. Sánchez | 25 | GK,-,
478,480,E. Anderson | 20 | CM,-,
479,481,R. Vinagre | 23 | FB,-,
480,482,M. Sarkic | 25 | GK,-,
481,483,R. Williams | 21 | CB,-,
482,484,M. Wöber | 24 | CB,-,
483,485,S. Botman | 22 | CB,-,
484,486,F. Downes | 23 | CM,-,
485,487,J. Justin | 24 | FB,-,
486,488,C. Romero | 24 | CB,-,
487,489,C. Coventry | 22 | CM,-,
488,490,B. Johnson | 22 | FB,-,
489,491,M. Gibbs-White | 22 | WAM,-,
490,492,T. Malacia | 23 | FB,-,
491,493,K. Klaesson | 22 | GK,-,
492,494,T. Tomiyasu | 24 | FB,-,
493,495,C. Mepham | 25 | CB,-,
494,496,M. Turner | 28 | GK,-,
495,497,V. Mykolenko | 23 | FB,-,
496,498,A. Ramsdale | 24 | GK,-,
497,499,B. Soumaré | 23 | CM,-,
498,500,B. Kamara | 23 | CM,-,
499,501,M. Roerslev | 23 | FB,-,
500,502,Y. Bissouma | 26 | CM,-,
501,503,M. Bech | 23 | CB,-,
502,504,É. Mendy | 30 | GK,-,
503,505,M. Travers | 23 | GK,-,
504,506,M. Smith | 22 | N/A,-,
505,507,L. Brunt | 22 | FB,-,
506,508,T. Lamptey | 22 | FB,-,
507,509,K. John | 21 | N/A,-,
508,510,D. Spence | 22 | WAM,-,
509,511,J. Garner | 21 | CM,-,
510,512,B. Williams | 22 | FB,-,
511,513,R. Lodi | 24 | FB,-,
512,514,S. Alzate | 24 | CM,-,
513,515,G. Wickens | 21 | GK,-,
514,516,L. Kelly | 24 | CB,-,
515,517,I. Diallo | 23 | CM,-,
516,518,J. Hodge | 20 | CAM,-,
517,519,W. McKennie | 24 | CM,-,
518,520,L. Mbe Soh | 21 | CB,-,
519,521,B. Gilmour | 21 | CM,-,
520,522,N. Patterson | 21 | FB,-,
521,523,R. Muniz | 21 | FW,-,
522,524,S. Dembélé | 26 | WAM,-,
523,525,L. Thomas | 21 | FB,-,
524,526,T. Mitchell | 23 | FB,-,
525,527,C. Palmer | 20 | WAM,-,
526,528,A. Mighten | 20 | WAM,-,
527,529,B. Knight | 20 | N/A,-,
528,530,L. Cundle | 20 | CM,-,
529,531,P. Neto | 22 | WAM,-,
530,532,T. Ablade | 21 | N/A,-,
531,533,V. Sinisalo | 21 | GK,-,
532,534,K. Lewis-Potter | 21 | WAM,-,
533,535,N. Bishop | 23 | GK,-,
534,536,K. Balmer | 22 | N/A,-,
535,537,E. Mwepu | 24 | FW,-,
